,images,paths,caption,path1,path2,name1,name2
39,image 40: a vase filled with flowers on top of a table	,"cp ""./cv/images/025613.jpg"" vis/imgs/img40.jpg	",a vase filled with flowers on top of a table,"""./cv/images/025613.jpg""",vis/imgs/img40.jpg	,025613.jpg,img40.jpg
40,image 41: a woman is standing in front of a building	,"cp ""./cv/images/010304.jpg"" vis/imgs/img41.jpg	",a woman is standing in front of a building,"""./cv/images/010304.jpg""",vis/imgs/img41.jpg	,010304.jpg,img41.jpg
41,image 42: a bowl of fruit and a banana on a table	,"cp ""./cv/images/017079.jpg"" vis/imgs/img42.jpg	",a bowl of fruit and a banana on a table,"""./cv/images/017079.jpg""",vis/imgs/img42.jpg	,017079.jpg,img42.jpg
42,image 43: a woman is holding a frisbee in her hand	,"cp ""./cv/images/029652.jpg"" vis/imgs/img43.jpg	",a woman is holding a frisbee in her hand,"""./cv/images/029652.jpg""",vis/imgs/img43.jpg	,029652.jpg,img43.jpg
43,image 44: a city street at night with a traffic light	,"cp ""./cv/images/036228.jpg"" vis/imgs/img44.jpg	",a city street at night with a traffic light,"""./cv/images/036228.jpg""",vis/imgs/img44.jpg	,036228.jpg,img44.jpg
44,image 45: a white bus parked on the side of a street	,"cp ""./cv/images/029721.jpg"" vis/imgs/img45.jpg	",a white bus parked on the side of a street,"""./cv/images/029721.jpg""",vis/imgs/img45.jpg	,029721.jpg,img45.jpg
45,image 46: a bunch of bananas on a wooden table	,"cp ""./cv/images/012453.jpg"" vis/imgs/img46.jpg	",a bunch of bananas on a wooden table,"""./cv/images/012453.jpg""",vis/imgs/img46.jpg	,012453.jpg,img46.jpg
46,image 47: a mountain range with a mountain in the background	,"cp ""./cv/images/022346.jpg"" vis/imgs/img47.jpg	",a mountain range with a mountain in the background,"""./cv/images/022346.jpg""",vis/imgs/img47.jpg	,022346.jpg,img47.jpg
47,image 48: a close up of a bird on a tree branch	,"cp ""./cv/images/033186.jpg"" vis/imgs/img48.jpg	",a close up of a bird on a tree branch,"""./cv/images/033186.jpg""",vis/imgs/img48.jpg	,033186.jpg,img48.jpg
48,image 49: a woman is sitting on a bench talking on her cell phone	,"cp ""./cv/images/013860.jpg"" vis/imgs/img49.jpg	",a woman is sitting on a bench talking on her cell phone,"""./cv/images/013860.jpg""",vis/imgs/img49.jpg	,013860.jpg,img49.jpg
49,image 50: a train station with a train passing by	,"cp ""./cv/images/001004.jpg"" vis/imgs/img50.jpg	",a train station with a train passing by,"""./cv/images/001004.jpg""",vis/imgs/img50.jpg	,001004.jpg,img50.jpg
50,image 51: a woman is standing in front of a clock	,"cp ""./cv/images/002666.jpg"" vis/imgs/img51.jpg	",a woman is standing in front of a clock,"""./cv/images/002666.jpg""",vis/imgs/img51.jpg	,002666.jpg,img51.jpg
51,image 52: a woman is standing in the middle of the street	,"cp ""./cv/images/007291.jpg"" vis/imgs/img52.jpg	",a woman is standing in the middle of the street,"""./cv/images/007291.jpg""",vis/imgs/img52.jpg	,007291.jpg,img52.jpg
52,image 53: a brown horse is standing in a field	,"cp ""./cv/images/015932.jpg"" vis/imgs/img53.jpg	",a brown horse is standing in a field,"""./cv/images/015932.jpg""",vis/imgs/img53.jpg	,015932.jpg,img53.jpg
53,image 54: a view of a mountain range in the distance	,"cp ""./cv/images/025141.jpg"" vis/imgs/img54.jpg	",a view of a mountain range in the distance,"""./cv/images/025141.jpg""",vis/imgs/img54.jpg	,025141.jpg,img54.jpg
54,image 55: a man riding a skateboard down a street	,"cp ""./cv/images/034240.jpg"" vis/imgs/img55.jpg	",a man riding a skateboard down a street,"""./cv/images/034240.jpg""",vis/imgs/img55.jpg	,034240.jpg,img55.jpg
55,image 56: a man sitting on the back of a car with a dog	,"cp ""./cv/images/034507.jpg"" vis/imgs/img56.jpg	",a man sitting on the back of a car with a dog,"""./cv/images/034507.jpg""",vis/imgs/img56.jpg	,034507.jpg,img56.jpg
56,image 57: a man wearing a hat and a tie	,"cp ""./cv/images/023940.jpg"" vis/imgs/img57.jpg	",a man wearing a hat and a tie,"""./cv/images/023940.jpg""",vis/imgs/img57.jpg	,023940.jpg,img57.jpg
57,image 58: a black cat is sitting on the floor	,"cp ""./cv/images/035480.jpg"" vis/imgs/img58.jpg	",a black cat is sitting on the floor,"""./cv/images/035480.jpg""",vis/imgs/img58.jpg	,035480.jpg,img58.jpg
58,image 59: a person taking a picture of a bathroom mirror	,"cp ""./cv/images/012347.jpg"" vis/imgs/img59.jpg	",a person taking a picture of a bathroom mirror,"""./cv/images/012347.jpg""",vis/imgs/img59.jpg	,012347.jpg,img59.jpg
59,image 60: a person is standing in front of a window	,"cp ""./cv/images/001083.jpg"" vis/imgs/img60.jpg	",a person is standing in front of a window,"""./cv/images/001083.jpg""",vis/imgs/img60.jpg	,001083.jpg,img60.jpg
60,image 61: a man wearing a tie and a hat	,"cp ""./cv/images/022369.jpg"" vis/imgs/img61.jpg	",a man wearing a tie and a hat,"""./cv/images/022369.jpg""",vis/imgs/img61.jpg	,022369.jpg,img61.jpg
61,image 62: a group of boats docked in a harbor	,"cp ""./cv/images/009260.jpg"" vis/imgs/img62.jpg	",a group of boats docked in a harbor,"""./cv/images/009260.jpg""",vis/imgs/img62.jpg	,009260.jpg,img62.jpg
62,image 63: a table topped with plates and bowls of food	,"cp ""./cv/images/022439.jpg"" vis/imgs/img63.jpg	",a table topped with plates and bowls of food,"""./cv/images/022439.jpg""",vis/imgs/img63.jpg	,022439.jpg,img63.jpg
63,image 64: a bus is parked on the side of the street	,"cp ""./cv/images/028487.jpg"" vis/imgs/img64.jpg	",a bus is parked on the side of the street,"""./cv/images/028487.jpg""",vis/imgs/img64.jpg	,028487.jpg,img64.jpg
64,image 65: a person is holding a red apple in the air	,"cp ""./cv/images/027938.jpg"" vis/imgs/img65.jpg	",a person is holding a red apple in the air,"""./cv/images/027938.jpg""",vis/imgs/img65.jpg	,027938.jpg,img65.jpg
65,image 66: a sign that is on the side of a building	,"cp ""./cv/images/011242.jpg"" vis/imgs/img66.jpg	",a sign that is on the side of a building,"""./cv/images/011242.jpg""",vis/imgs/img66.jpg	,011242.jpg,img66.jpg
66,image 67: a view of a building with a clock on it	,"cp ""./cv/images/017946.jpg"" vis/imgs/img67.jpg	",a view of a building with a clock on it,"""./cv/images/017946.jpg""",vis/imgs/img67.jpg	,017946.jpg,img67.jpg
67,image 68: a red and white bird is flying in the sky	,"cp ""./cv/images/036188.jpg"" vis/imgs/img68.jpg	",a red and white bird is flying in the sky,"""./cv/images/036188.jpg""",vis/imgs/img68.jpg	,036188.jpg,img68.jpg
68,image 69: a young boy is holding a baseball bat on a street	,"cp ""./cv/images/036257.jpg"" vis/imgs/img69.jpg	",a young boy is holding a baseball bat on a street,"""./cv/images/036257.jpg""",vis/imgs/img69.jpg	,036257.jpg,img69.jpg
69,image 70: a cell phone is sitting on a table	,"cp ""./cv/images/031664.jpg"" vis/imgs/img70.jpg	",a cell phone is sitting on a table,"""./cv/images/031664.jpg""",vis/imgs/img70.jpg	,031664.jpg,img70.jpg
70,image 71: a person on a skateboard on a street corner	,"cp ""./cv/images/001910.jpg"" vis/imgs/img71.jpg	",a person on a skateboard on a street corner,"""./cv/images/001910.jpg""",vis/imgs/img71.jpg	,001910.jpg,img71.jpg
71,image 72: a man in a suit and tie standing in front of a mirror	,"cp ""./cv/images/034543.jpg"" vis/imgs/img72.jpg	",a man in a suit and tie standing in front of a mirror,"""./cv/images/034543.jpg""",vis/imgs/img72.jpg	,034543.jpg,img72.jpg
72,image 73: a pair of scissors on a table next to a mouse	,"cp ""./cv/images/013772.jpg"" vis/imgs/img73.jpg	",a pair of scissors on a table next to a mouse,"""./cv/images/013772.jpg""",vis/imgs/img73.jpg	,013772.jpg,img73.jpg
73,image 74: a bird is sitting on a branch of a tree	,"cp ""./cv/images/016754.jpg"" vis/imgs/img74.jpg	",a bird is sitting on a branch of a tree,"""./cv/images/016754.jpg""",vis/imgs/img74.jpg	,016754.jpg,img74.jpg
74,image 75: a clock on a wooden table in a room	,"cp ""./cv/images/005962.jpg"" vis/imgs/img75.jpg	",a clock on a wooden table in a room,"""./cv/images/005962.jpg""",vis/imgs/img75.jpg	,005962.jpg,img75.jpg
75,image 76: a woman is holding a cell phone in her hand	,"cp ""./cv/images/008532.jpg"" vis/imgs/img76.jpg	",a woman is holding a cell phone in her hand,"""./cv/images/008532.jpg""",vis/imgs/img76.jpg	,008532.jpg,img76.jpg
76,image 77: a man riding a bike down a street	,"cp ""./cv/images/005334.jpg"" vis/imgs/img77.jpg	",a man riding a bike down a street,"""./cv/images/005334.jpg""",vis/imgs/img77.jpg	,005334.jpg,img77.jpg
77,image 78: a view of a beach with a large body of water	,"cp ""./cv/images/016771.jpg"" vis/imgs/img78.jpg	",a view of a beach with a large body of water,"""./cv/images/016771.jpg""",vis/imgs/img78.jpg	,016771.jpg,img78.jpg
78,image 79: a man standing in front of a microwave oven	,"cp ""./cv/images/005618.jpg"" vis/imgs/img79.jpg	",a man standing in front of a microwave oven,"""./cv/images/005618.jpg""",vis/imgs/img79.jpg	,005618.jpg,img79.jpg
79,image 80: a tree in a garden with a tree in the background	,"cp ""./cv/images/001991.jpg"" vis/imgs/img80.jpg	",a tree in a garden with a tree in the background,"""./cv/images/001991.jpg""",vis/imgs/img80.jpg	,001991.jpg,img80.jpg
80,image 81: a cat is sitting on a window sill	,"cp ""./cv/images/025555.jpg"" vis/imgs/img81.jpg	",a cat is sitting on a window sill,"""./cv/images/025555.jpg""",vis/imgs/img81.jpg	,025555.jpg,img81.jpg
81,image 82: a group of people standing in a room	,"cp ""./cv/images/016871.jpg"" vis/imgs/img82.jpg	",a group of people standing in a room,"""./cv/images/016871.jpg""",vis/imgs/img82.jpg	,016871.jpg,img82.jpg
82,image 83: a close up of a pair of scissors	,"cp ""./cv/images/001418.jpg"" vis/imgs/img83.jpg	",a close up of a pair of scissors,"""./cv/images/001418.jpg""",vis/imgs/img83.jpg	,001418.jpg,img83.jpg
83,image 84: a woman is sitting on a motorcycle with a dog	,"cp ""./cv/images/029149.jpg"" vis/imgs/img84.jpg	",a woman is sitting on a motorcycle with a dog,"""./cv/images/029149.jpg""",vis/imgs/img84.jpg	,029149.jpg,img84.jpg
84,image 85: a motorcycle parked on the side of a road	,"cp ""./cv/images/018080.jpg"" vis/imgs/img85.jpg	",a motorcycle parked on the side of a road,"""./cv/images/018080.jpg""",vis/imgs/img85.jpg	,018080.jpg,img85.jpg
85,image 86: a view of a mountain range from a mountain	,"cp ""./cv/images/023206.jpg"" vis/imgs/img86.jpg	",a view of a mountain range from a mountain,"""./cv/images/023206.jpg""",vis/imgs/img86.jpg	,023206.jpg,img86.jpg
86,image 87: a bird is perched on a branch in the sky	,"cp ""./cv/images/030709.jpg"" vis/imgs/img87.jpg	",a bird is perched on a branch in the sky,"""./cv/images/030709.jpg""",vis/imgs/img87.jpg	,030709.jpg,img87.jpg
87,image 88: a book shelf filled with books and books	,"cp ""./cv/images/028876.jpg"" vis/imgs/img88.jpg	",a book shelf filled with books and books,"""./cv/images/028876.jpg""",vis/imgs/img88.jpg	,028876.jpg,img88.jpg
88,image 89: a black and white photo of a stove in a kitchen	,"cp ""./cv/images/033714.jpg"" vis/imgs/img89.jpg	",a black and white photo of a stove in a kitchen,"""./cv/images/033714.jpg""",vis/imgs/img89.jpg	,033714.jpg,img89.jpg
89,image 90: a close up of a cell phone on a table	,"cp ""./cv/images/011852.jpg"" vis/imgs/img90.jpg	",a close up of a cell phone on a table,"""./cv/images/011852.jpg""",vis/imgs/img90.jpg	,011852.jpg,img90.jpg
90,image 91: a vase filled with yellow flowers on a table	,"cp ""./cv/images/008138.jpg"" vis/imgs/img91.jpg	",a vase filled with yellow flowers on a table,"""./cv/images/008138.jpg""",vis/imgs/img91.jpg	,008138.jpg,img91.jpg
91,image 92: a man standing next to a parking meter	,"cp ""./cv/images/029413.jpg"" vis/imgs/img92.jpg	",a man standing next to a parking meter,"""./cv/images/029413.jpg""",vis/imgs/img92.jpg	,029413.jpg,img92.jpg
92,image 93: a statue of a man in front of a clock tower	,"cp ""./cv/images/014194.jpg"" vis/imgs/img93.jpg	",a statue of a man in front of a clock tower,"""./cv/images/014194.jpg""",vis/imgs/img93.jpg	,014194.jpg,img93.jpg
93,image 94: a group of people in a field with a kite	,"cp ""./cv/images/034753.jpg"" vis/imgs/img94.jpg	",a group of people in a field with a kite,"""./cv/images/034753.jpg""",vis/imgs/img94.jpg	,034753.jpg,img94.jpg
94,image 95: an airplane is parked on a runway in a field	,"cp ""./cv/images/024938.jpg"" vis/imgs/img95.jpg	",an airplane is parked on a runway in a field,"""./cv/images/024938.jpg""",vis/imgs/img95.jpg	,024938.jpg,img95.jpg
95,image 96: a group of birds sitting on top of a wooden bench	,"cp ""./cv/images/014752.jpg"" vis/imgs/img96.jpg	",a group of birds sitting on top of a wooden bench,"""./cv/images/014752.jpg""",vis/imgs/img96.jpg	,014752.jpg,img96.jpg
96,image 97: a bunch of flowers that are in a vase	,"cp ""./cv/images/014133.jpg"" vis/imgs/img97.jpg	",a bunch of flowers that are in a vase,"""./cv/images/014133.jpg""",vis/imgs/img97.jpg	,014133.jpg,img97.jpg
97,image 98: a young boy sitting on a bench in a park	,"cp ""./cv/images/004065.jpg"" vis/imgs/img98.jpg	",a young boy sitting on a bench in a park,"""./cv/images/004065.jpg""",vis/imgs/img98.jpg	,004065.jpg,img98.jpg
98,image 99: a building with a clock on the front of it	,"cp ""./cv/images/034776.jpg"" vis/imgs/img99.jpg	",a building with a clock on the front of it,"""./cv/images/034776.jpg""",vis/imgs/img99.jpg	,034776.jpg,img99.jpg
99,image 100: a close up of a pair of scissors on a table	,"cp ""./cv/images/028698.jpg"" vis/imgs/img100.jpg	",a close up of a pair of scissors on a table,"""./cv/images/028698.jpg""",vis/imgs/img100.jpg	,028698.jpg,img100.jpg
100,image 101: a pair of scissors sitting on a piece of wood	,"cp ""./cv/images/023277.jpg"" vis/imgs/img101.jpg	",a pair of scissors sitting on a piece of wood,"""./cv/images/023277.jpg""",vis/imgs/img101.jpg	,023277.jpg,img101.jpg
101,image 102: a small bird sitting on a branch of a tree	,"cp ""./cv/images/032643.jpg"" vis/imgs/img102.jpg	",a small bird sitting on a branch of a tree,"""./cv/images/032643.jpg""",vis/imgs/img102.jpg	,032643.jpg,img102.jpg
102,image 103: an old truck is parked in a field	,"cp ""./cv/images/005192.jpg"" vis/imgs/img103.jpg	",an old truck is parked in a field,"""./cv/images/005192.jpg""",vis/imgs/img103.jpg	,005192.jpg,img103.jpg
103,image 104: a view of a tree in a park	,"cp ""./cv/images/002089.jpg"" vis/imgs/img104.jpg	",a view of a tree in a park,"""./cv/images/002089.jpg""",vis/imgs/img104.jpg	,002089.jpg,img104.jpg
104,image 105: a man sitting on top of a wooden bench	,"cp ""./cv/images/024600.jpg"" vis/imgs/img105.jpg	",a man sitting on top of a wooden bench,"""./cv/images/024600.jpg""",vis/imgs/img105.jpg	,024600.jpg,img105.jpg
105,image 106: a fire hydrant in the middle of a garden	,"cp ""./cv/images/003065.jpg"" vis/imgs/img106.jpg	",a fire hydrant in the middle of a garden,"""./cv/images/003065.jpg""",vis/imgs/img106.jpg	,003065.jpg,img106.jpg
106,image 107: a man standing in front of a store with a cell phone	,"cp ""./cv/images/019853.jpg"" vis/imgs/img107.jpg	",a man standing in front of a store with a cell phone,"""./cv/images/019853.jpg""",vis/imgs/img107.jpg	,019853.jpg,img107.jpg
107,image 108: a view of a mountain range from a plane	,"cp ""./cv/images/009778.jpg"" vis/imgs/img108.jpg	",a view of a mountain range from a plane,"""./cv/images/009778.jpg""",vis/imgs/img108.jpg	,009778.jpg,img108.jpg
108,image 109: a person on a beach with a surfboard	,"cp ""./cv/images/019454.jpg"" vis/imgs/img109.jpg	",a person on a beach with a surfboard,"""./cv/images/019454.jpg""",vis/imgs/img109.jpg	,019454.jpg,img109.jpg
109,image 110: a person is sitting on a bed in a room	,"cp ""./cv/images/027133.jpg"" vis/imgs/img110.jpg	",a person is sitting on a bed in a room,"""./cv/images/027133.jpg""",vis/imgs/img110.jpg	,027133.jpg,img110.jpg
110,image 111: a person holding an umbrella in the rain	,"cp ""./cv/images/018537.jpg"" vis/imgs/img111.jpg	",a person holding an umbrella in the rain,"""./cv/images/018537.jpg""",vis/imgs/img111.jpg	,018537.jpg,img111.jpg
111,image 112: a close up of a cake on a table	,"cp ""./cv/images/002434.jpg"" vis/imgs/img112.jpg	",a close up of a cake on a table,"""./cv/images/002434.jpg""",vis/imgs/img112.jpg	,002434.jpg,img112.jpg
112,image 113: a polar bear is laying on a rock	,"cp ""./cv/images/012131.jpg"" vis/imgs/img113.jpg	",a polar bear is laying on a rock,"""./cv/images/012131.jpg""",vis/imgs/img113.jpg	,012131.jpg,img113.jpg
113,image 114: a large body of water surrounded by trees	,"cp ""./cv/images/013768.jpg"" vis/imgs/img114.jpg	",a large body of water surrounded by trees,"""./cv/images/013768.jpg""",vis/imgs/img114.jpg	,013768.jpg,img114.jpg
114,image 115: a bench sitting in the middle of a river	,"cp ""./cv/images/012286.jpg"" vis/imgs/img115.jpg	",a bench sitting in the middle of a river,"""./cv/images/012286.jpg""",vis/imgs/img115.jpg	,012286.jpg,img115.jpg
115,image 116: a zebra standing on a dirt road next to a tree	,"cp ""./cv/images/027863.jpg"" vis/imgs/img116.jpg	",a zebra standing on a dirt road next to a tree,"""./cv/images/027863.jpg""",vis/imgs/img116.jpg	,027863.jpg,img116.jpg
116,image 117: a man riding on the back of a motorcycle	,"cp ""./cv/images/004746.jpg"" vis/imgs/img117.jpg	",a man riding on the back of a motorcycle,"""./cv/images/004746.jpg""",vis/imgs/img117.jpg	,004746.jpg,img117.jpg
117,image 118: a close up of a window in a dark room	,"cp ""./cv/images/000136.jpg"" vis/imgs/img118.jpg	",a close up of a window in a dark room,"""./cv/images/000136.jpg""",vis/imgs/img118.jpg	,000136.jpg,img118.jpg
118,image 119: a close up of a person wearing a tie	,"cp ""./cv/images/017219.jpg"" vis/imgs/img119.jpg	",a close up of a person wearing a tie,"""./cv/images/017219.jpg""",vis/imgs/img119.jpg	,017219.jpg,img119.jpg
119,image 120: a view of a city street at night	,"cp ""./cv/images/001403.jpg"" vis/imgs/img120.jpg	",a view of a city street at night,"""./cv/images/001403.jpg""",vis/imgs/img120.jpg	,001403.jpg,img120.jpg
120,image 121: a man is standing on a beach with a boat in the background	,"cp ""./cv/images/016004.jpg"" vis/imgs/img121.jpg	",a man is standing on a beach with a boat in the background,"""./cv/images/016004.jpg""",vis/imgs/img121.jpg	,016004.jpg,img121.jpg
